id,deporte,min_jugadores,max_jugadores,minuto_min,minuto_max,permite_empate,tarjetas_habilitadas
1,FUTBOL,11,25,1,90,1,1
2,BALONCESTO,5,15,1,40,0,0
3,TENIS,1,2,1,180,0,0
4,VOLEIBOL,6,12,1,120,0,0
5,RUGBY,15,30,1,80,1,1
6,BEISBOL,9,25,1,9,0,0
7,HOCKEY,6,20,1,60,1,1
8,HANDBALL,7,16,1,60,1,1
9,SOFTBOL,9,25,1,7,0,0
